"","Protein","CU vs AD","CU vs NPH","AD vs NPH","Sums"
"1","MDH1_P40925",1,1,1,3
"2","SMOC1_Q9H4F8",1,1,1,3
"3","GOT1_P17174",1,1,1,3
"4","BASP1_P80723",1,0,1,2
"5","TPI1_P60174",1,1,1,3
"6","NEGR1_Q7Z3B1",0,1,1,2
"7","PKM_P14618",1,0,1,2
"8","NRXN1_Q9ULB1",0,1,1,2
"9","SIRPA_P78324",0,1,1,2
"10","NRXN3_Q9HDB5.Q9Y4C0",0,1,1,2
"11","NPTX1_Q15818",0,1,1,2
"12","NRXN1.NRXN3_Q9ULB1.Q9Y4C0",0,1,1,2
"13","L1CAM_P32004",1,1,1,3
"14","ALDOA_P04075",1,0,1,2
"15","NRXN2_Q9P2S2",0,1,1,2
"16","B4GAT1_O43505",0,1,1,2
"17","NRCAM_Q92823",0,1,1,2
"18","TMEM132A_Q24JP5",1,1,1,3
"19","NRXN3_Q9Y4C0",0,1,1,2
"20","LDHA_P00338",1,0,1,2
"21","SEMA3G_Q9NS98",0,1,1,2
"22","EPHA4_P54764",0,1,1,2
"23","ROBO1_Q9Y6N7",1,1,1,3
"24","LDHB_P07195",1,1,1,3
"25","PTPRG_P23470",0,1,1,2
"26","SEZ6_Q53EL9",0,1,1,2
"27","LSAMP_Q13449",0,1,1,2
"28","NEO1_Q92859",0,1,1,2
"29","APOE_P02649",0,1,1,2
"30","CACNA2D1_P54289",0,1,1,2
"31","FAM3C_Q92520",0,1,1,2
"32","NFASC_O94856",0,1,1,2
"33","GDA_Q9Y2T3",1,0,1,2
"34","IL6ST_P40189",0,1,1,2
"35","ADAM22_Q9P0K1",0,1,1,2
"36","NRXN2.NRXN3_Q9P2S2.Q9Y4C0",0,1,1,2
"37","NTM.OPCML_Q14982.Q9P121",0,1,1,2
"38","BPNT2_Q9NX62",0,1,1,2
"39","CRTAC1_Q9NQ79",0,1,1,2
"40","CHL1_O00533",0,1,1,2
"41","CLSTN1_O94985",0,1,1,2
"42","NELL2_Q99435",0,1,1,2
"43","RGMB_Q6NW40",0,1,1,2
"44","SEZ6L_Q9BYH1",0,1,1,2
"45","CADM3_Q8N126",0,1,1,2
"46","ADGRB2_O60241",0,1,1,2
"47","TXN_P10599",1,0,1,2
"48","PAM_P19021",0,1,1,2
"49","GRIA4_P48058",0,1,1,2
"50","ATP6AP1_Q15904",0,1,1,2
"51","MEGF9_Q9H1U4",0,1,1,2
"52","SPINT2_O43291",0,1,1,2
"53","PEBP1_P30086",1,0,1,2
"54","SEZ6L2_Q6UXD5",0,1,1,2
"55","CHGB_P05060",0,1,1,2
"56","PCDH1_Q08174",0,1,1,2
"57","OPCML_Q14982",0,1,1,2
"58","DKK3_Q9UBP4",0,1,1,2
"59","TGFBR3_Q03167",1,1,1,3
"60","APLP2_Q06481",0,1,1,2
"61","SCG2_P13521",0,1,1,2
"62","ENO2_P09104",1,0,1,2
"63","TGOLN2_O43493",0,1,1,2
"64","NPPC_P23582",1,1,1,3
"65","NRXN2_P58401.Q9P2S2",0,1,1,2
"66","SCG3_Q8WXD2",0,1,1,2
"67","PARK7_Q99497",1,0,1,2
"68","MAN2A2_P49641",0,1,1,2
"69","MEGF8_Q7Z7M0",0,1,1,2
"70","ICAM5_Q9UMF0",0,1,1,2
"71","CDH13_P55290",0,1,1,2
"72","LRRC4B_Q9NT99",0,1,1,2
"73","PTPRF_P10586",0,1,1,2
"74","NPTXR_O95502",0,1,1,2
"75","ALDOC_P09972",1,0,1,2
"76","APLP1_P51693",0,1,1,2
"77","CUTA_O60888",0,1,1,2
"78","TNFRSF21_O75509",0,1,1,2
"79","SOD1_P00441",1,1,1,3
"80","RELN_P78509",0,1,1,2
"81","NCAN_O14594",0,1,1,2
"82","CDH2_P19022",0,1,1,2
"83","ECM1_Q16610",0,1,1,2
"84","CSPG5_O95196",0,1,1,2
"85","C4orf48_Q5BLP8",0,1,1,2
"86","CADM2_Q8N3J6",0,1,1,2
"87","PTPRD_P23468",0,1,1,2
"88","APP_P05067",0,1,1,2
"89","C2_P06681",0,1,1,2
"90","MARCKS_P29966",1,0,1,2
"91","CHGA_P10645",0,1,1,2
"92","KIAA1549L_H0YDE5",0,1,1,2
"93","CADM1_Q9BY67",0,1,1,2
"94","CD99L2_Q8TCZ2",0,1,1,2
"95","PGK1_P00558",1,0,1,2
"96","VASN_Q6EMK4",1,0,1,2
"97","ADGRL3_Q9HAR2",0,1,1,2
"98","CNTFR_P26992",0,1,1,2
"99","DPP6_P42658",1,1,1,3
"100","THY1_P04216",0,1,1,2
"101","NTM_Q9P121",0,1,1,2
"102","CFI_P05156",1,1,1,3
"103","PCSK1N_Q9UHG2",0,1,1,2
"104","CNTN4_Q8IWV2",0,1,1,2
"105","CPB2_Q96IY4",1,1,1,3
"106","CD55_P08174",0,1,1,2
"107","ATP6AP2_O75787",0,1,1,2
"108","RTN4RL2_Q86UN3",0,1,1,2
"109","PRNP_P04156",0,1,1,2
"110","CALR_P27797",0,1,1,2
"111","SPON1_Q9HCB6",1,0,1,2
"112","IDS_P22304",0,1,1,2
"113","TTR_P02766",0,1,1,2
"114","VGF_O15240",0,1,1,2
"115","HS6ST3_Q8IZP7",0,1,1,2
"116","MEGF10_Q96KG7",0,1,1,2
"117","NCAM1_H7BYX6",0,1,1,2
"118","CNTNAP4_Q9C0A0",0,1,1,2
"119","EXTL2_Q9UBQ6",0,1,1,2
"120","CGREF1_Q99674",0,1,1,2
"121","CNTN1_Q12860",0,1,1,2
"122","CALM1.CALM2.CALM3_P0DP23.P0DP24.P0DP25",1,0,1,2
"123","VTN_P04004",1,1,1,3
"124","MAN1A1_P33908",0,1,1,2
"125","F9_P00740",0,1,1,2
"126","RTN4R_Q9BZR6",0,1,1,2
"127","FGFR3_P22607",0,1,1,2
"128","POMGNT1_Q8WZA1",0,1,1,2
"129","F5_P12259",0,1,1,2
"130","AGRN_O00468",0,1,1,2
"131","FAIM2_Q9BWQ8",0,1,1,2
"132","VSTM2A_Q8TAG5",0,1,1,2
"133","PTPRN2_Q92932",0,1,1,2
"134","C3_P01024",0,1,1,2
"135","CA4_P22748",0,1,1,2
"136","NXPH4_O95158",0,1,1,2
"137","CP_P00450",0,1,1,2
"138","SEMA4B_Q9NPR2",0,1,1,2
"139","MCAM_P43121",0,1,1,2
"140","PTPRS_Q13332",0,1,1,2
"141","NCAM1_P13591",0,1,1,2
"142","CDH4_P55283",0,1,1,2
"143","ENO1_P06733",1,0,1,2
"144","MASP1_P48740",0,1,1,2
"145","GFRA2_O00451",0,1,1,2
"146","SEMA7A_O75326",0,1,1,2
"147","MT3_P25713",0,1,1,2
"148","NRN1_Q9NPD7",0,1,1,2
"149","FGFR1_P11362",0,1,1,2
"150","LTBP2_Q14767",0,1,1,2
"151","COL6A1_P12109",0,1,1,2
"152","CFB_P00751",1,0,1,2
"153","FSTL4_Q6MZW2",0,1,1,2
"154","NPDC1_Q9NQX5",0,1,1,2
"155","SCG5_P05408",0,1,1,2
"156","BCAN_Q96GW7",0,0,1,1
"157","FAT2_Q9NYQ8",0,1,1,2
"158","HPX_P02790",1,0,1,2
"159","LYNX1_P0DP58",0,1,1,2
"160","IGFBP7_Q16270",0,1,1,2
"161","LCAT_P04180",0,1,1,2
"162","CADM4_Q8NFZ8",0,1,1,2
"163","LYZ_P61626",1,0,1,2
"164","C9_P02748",1,0,1,2
"165","ENPP2_Q13822",0,1,1,2
"166","ADGRL1_O94910",0,1,1,2
"167","SERPINC1_P01008",0,1,1,2
"168","UBC_P0CG48",1,0,1,2
"169","LRP1_Q07954",1,0,1,2
"170","SLITRK1_Q96PX8",0,1,1,2
"171","LMAN2_Q12907",0,1,1,2
"172","OMG_P23515",0,1,1,2
"173","C8G_P07360",1,0,1,2
"174","SUSD5_O60279",0,1,1,2
"175","AMBP_P02760",0,0,1,1
"176","EPHA7_Q15375",0,1,1,2
"177","HYOU1_Q9Y4L1",0,1,1,2
"178","LY6H_O94772",0,1,1,2
"179","WFDC1_Q9HC57",0,0,1,1
"180","CDH6_P55285",0,1,1,2
"181","LAMP2_P13473",0,0,1,1
"182","MINPP1_Q9UNW1",0,1,1,2
"183","AZGP1_P25311",0,1,1,2
"184","GALNT13_Q8IUC8",0,0,1,1
"185","F2_P00734",0,0,1,1
"186","ALCAM_Q13740",0,1,1,2
"187","C8B_P07358",1,0,1,2
"188","NTRK2_Q16620",0,1,1,2
"189","CHI3L1_P36222",1,0,1,2
"190","TIMP2_P16035",0,1,1,2
"191","CBLN3_Q6UW01",0,0,1,1
"192","SOD3_P08294",0,1,1,2
"193","NSG1_P42857",0,1,1,2
"194","CALY_Q9NYX4",0,1,1,2
"195","SERPINI1_Q99574",0,1,1,2
"196","CST3_P01034",0,1,1,2
"197","SERPINF2_P08697",0,0,1,1
"198","PTPRN_Q16849",0,1,1,2
"199","MMRN2_Q9H8L6",0,1,1,2
"200","CLEC3B_P05452",0,0,1,1
"201","GPR158_Q5T848",0,1,1,2
"202","GDF11.MSTN_O14793.O95390",1,0,1,2
"203","CDH8_P55286",0,1,1,2
"204","ITM2B_Q9Y287",0,1,1,2
"205","SORCS3_Q9UPU3",0,1,1,2
"206","C6_P13671",0,0,1,1
"207","KNG1_P01042",0,0,1,1
"208","TNR_Q92752",0,0,1,1
"209","RBP4_P02753",1,0,1,2
"210","NECTIN1_Q15223",0,0,1,1
"211","TIMP1_P01033",0,0,1,1
"212","SPP1_P10451",1,0,1,2
"213","DDAH1_O94760",1,0,1,2
"214","SGCE_O43556",0,0,1,1
"215","GPC1_P35052",0,0,1,1
"216","DNER_Q8NFT8",0,0,1,1
"217","C5_P01031",0,0,1,1
"218","ST6GAL2_Q96JF0",0,1,1,2
"219","SPINK6_Q6UWN8",0,0,1,1
"220","C8A_P07357",1,0,1,2
"221","CELSR2_Q9HCU4",0,1,1,2
"222","CD59_P13987",0,1,1,2
"223","NPTX2_P47972",0,1,1,2
"224","IGHA2_P01877",0,1,1,2
"225","ACYP2_P14621",0,0,1,1
"226","IGHV4.28_A0A0C4DH34",0,0,1,1
"227","PIK3IP1_Q96FE7",0,1,1,2
"228","PRKCSH_P14314",1,0,1,2
"229","HABP2_Q14520",0,0,1,1
"230","PCDH9_Q9HC56",0,0,1,1
"231","SPOCK2_Q92563",1,0,1,2
"232","PLD3_Q8IV08",1,0,1,2
"233","PLXNB2_O15031",1,0,1,2
"234","SST_P61278",0,1,1,2
"235","DAG1_Q14118",0,0,1,1
"236","ART3_Q13508",0,0,1,1
"237","CFH_P08603",0,0,1,1
"238","PNOC_Q13519",0,1,1,2
"239","PRRT3_Q5FWE3",0,1,1,2
"240","SPARCL1_Q14515",0,0,1,1
"241","VSTM2B_A6NLU5",0,1,1,2
"242","SELENBP1_Q13228",0,1,1,2
"243","PROS1_P07225",0,0,1,1
"244","SEMA6D_Q8NFY4",0,0,1,1
"245","APOH_P02749",0,0,1,1
"246","FSTL1_Q12841",0,0,1,1
"247","APOL1_O14791",1,0,1,2
"248","IGHA2_A0A0G2JMB2",0,1,1,2
"249","FRRS1L_Q9P0K9",0,1,1,2
"250","SPARC_P09486",0,1,1,2
"251","NBL1_P41271",0,1,1,2
"252","SULF2_Q8IWU5",0,1,1,2
"253","IGFBP5_P24593",0,1,1,2
"254","SERPINA3_P01011",0,1,1,2
"255","QPCT_Q16769",0,1,1,2
"256","TXNDC17_Q9BRA2",1,0,1,2
"257","TF_P02787",0,0,1,1
"258","ORM2_P19652",0,0,1,1
"259","PTGDS_P41222",0,0,1,1
"260","PRDX1_Q06830",1,0,1,2
"261","CDH5_P33151",1,1,0,2
"262","NCAM2_O15394",0,0,1,1
"263","PAPLN_O95428",0,0,1,1
"264","GC_P02774",0,0,1,1
"265","CFH.CFHR1_P08603.Q03591",0,0,1,1
"266","SERPINA5_P05154",0,0,1,1
"267","SERPIND1_P05546",0,0,1,1
"268","ALB_A0A087WWT3",0,0,1,1
"269","PCDHGC5_Q9Y5F6",0,1,1,2
"270","LRG1_P02750",0,1,1,2
"271","COLEC12_Q5KU26",0,0,1,1
"272","HSPA5_P11021",0,1,1,2
"273","PLG_P00747",0,0,1,1
"274","F13B_P05160",0,1,1,2
"275","CSF1R_P07333",0,0,1,1
"276","C16orf89_Q6UX73",0,1,1,2
"277","MGP_P08493",0,0,1,1
"278","HSP90B1_P14625",0,0,1,1
"279","FETUB_Q9UGM5",0,1,1,2
"280","IGKV1.5_P01602",0,1,1,2
"281","PTPRZ1_P23471",1,0,1,2
"282","RNASE4_P34096",0,1,1,2
"283","ENDOD1_O94919",0,0,1,1
"284","SERPINA6_P08185",0,0,1,1
"285","B4GALT1_P15291",0,0,1,1
"286","CNDP1_Q96KN2",0,0,1,1
"287","PDGFB_P01127",0,1,1,2
"288","TAFA5_Q7Z5A7",0,0,1,1
"289","PPIA_P62937",1,0,0,1
"290","FBN1_P35555",0,0,1,1
"291","MOG_Q16653",0,1,1,2
"292","PENK_P01210",0,1,1,2
"293","CPE_P16870",0,0,1,1
"294","ORM1.ORM2_P02763.P19652",0,0,1,1
"295","A1BG_P04217",0,0,1,1
"296","SERPINA4_P29622",0,0,1,1
"297","SELENOM_Q8WWX9",0,0,1,1
"298","CDH15_P55291",0,0,1,1
"299","AFM_P43652",0,0,1,1
"300","IGLV1.47_P01700",1,0,1,2
"301","FGFR2_P21802",0,0,1,1
"302","GM2A_P17900",0,0,1,1
"303","AGT_P01019",0,0,1,1
"304","ORM1_P02763",1,0,1,2
"305","IGLV3.10_A0A075B6K4",0,0,1,1
"306","CLSTN3_Q9BQT9",0,0,1,1
"307","ACTA2.ACTB.ACTG1.ACTG2_P60709.P62736.P63261.P63267",0,1,1,2
"308","PSAP_P07602",0,0,1,1
"309","MRC2_Q9UBG0",0,0,1,1
"310","ITIH4_Q14624",0,0,1,1
"311","PIANP_Q8IYJ0",0,1,1,2
"312","CFHR1.CFHR2_P36980.Q03591",0,0,1,1
"313","FCGBP_Q9Y6R7",1,0,1,2
"314","IGHV4.30.2.IGHV4.4_A0A075B6R2.A0A087WSY4",0,0,1,1
"315","MMP2_P08253",0,1,1,2
"316","SERPINF1_P36955",1,0,1,2
"317","IGKV3.20_P01619",0,1,1,2
"318","IGHV3.7_P01780",0,0,1,1
"319","IGHV3OR16.12_A0A075B7B8",0,0,1,1
"320","MIA_Q16674",0,1,1,2
"321","GGH_Q92820",0,0,1,1
"322","AXL_P30530",0,0,1,1
"323","IGHV1.3_A0A0C4DH29",0,1,1,2
"324","SLPI_P03973",0,1,1,2
"325","RARRES2_Q99969",0,0,1,1
"326","HP_P00738",0,0,1,1
"327","CFHR1_Q03591",0,0,1,1
"328","BTD_P43251",0,0,1,1
"329","ITIH1_P19827",0,0,1,1
"330","APOA4_P06727",0,0,1,1
"331","IGHV3.13_P01766",0,0,1,1
"332","THBS4_P35443",1,0,1,2
"333","SERPINA1_P01009",0,0,1,1
"334","IGHV5.10.1.IGHV5.51_A0A0C4DH38.A0A0J9YXX1",0,0,1,1
"335","CFHR2_P36980",0,0,1,1
"336","IGHG1_P01857",0,0,1,1
"337","PEBP4_Q96S96",0,0,1,1
"338","IGKV2.29.IGKV2.30.IGKV2D.29_A0A075B6S2.A2NJV5.P06310",0,0,1,1
"339","HRG_P04196",0,0,1,1
"340","SPOCK1_Q08629",0,0,1,1
"341","GALNT2_Q10471",0,0,1,1
"342","ICOSLG_O75144",0,0,1,1
"343","LBP_P18428",0,0,1,1
"344","HP.HPR_P00738.P00739",0,0,1,1
"345","CARTPT_Q16568",0,1,1,2
"346","KLKB1_P03952",0,0,1,1
"347","FGA_P02671",0,0,1,1
"348","IGHG3_P01860",1,0,0,1
"349","IGLC2_P0DOY2",0,0,1,1
"350","FCGR3A_P08637",1,0,0,1
"351","COL1A2_P08123",0,0,1,1
"352","IGKC_P01834",0,0,1,1
"353","FMOD_Q06828",0,0,1,1
"354","IGHG1.IGHG3_P01857.P01860",0,0,1,1
"355","GFRA1_P56159",0,0,1,1
"356","IGHV4.30.4.IGHV4.34.IGHV4.38.2.IGHV4.39.IGHV4.59.IGHV4.61_A0A0C4DH41.P01824.P01825.P06331.P0DP06.P0DP08",0,0,1,1
"357","ITIH2_P19823",0,0,1,1
"358","SERPINA7_P05543",0,0,1,1
"359","IGHA1.IGHA2_P01876.P01877",0,0,1,1
"360","SPOCK3_Q9BQ16",1,0,0,1
"361","IGLV1.51_P01701",0,0,1,1
"362","CTBS_Q01459",0,0,1,1
"363","COL1A1_P02452",0,0,1,1
"364","C4A_P0C0L4",0,0,1,1
"365","IGLL5_B9A064",0,0,1,1
"366","IGKV3D.15_A0A087WSY6",0,0,1,1
"367","FSTL3_O95633",0,0,1,1
"368","CTSC_P53634",1,0,0,1
"369","FGB_P02675",0,0,1,1
"370","BGN_P21810",0,0,1,1
"371","PRG4_Q92954",0,0,1,1
"372","TALDO1_P37837",0,0,1,1
"373","IGLV3.19_P01714",0,0,1,1
"374","CPN2_P22792",0,0,1,1
"375","COCH_O43405",1,0,0,1
"376","CLU_P10909",0,0,1,1
"377","PCOLCE_Q15113",0,0,1,1
"378","LUM_P51884",0,0,1,1
"379","LTBP1_Q14766",0,1,0,1
"380","ISLR_O14498",0,1,0,1
"381","IGHV3.15_A0A0B4J1V0",0,0,1,1
"382","GOLM1_Q8NBJ4",0,0,1,1
